District_Name,Year,Yield
Kheri,2022,3.4819993693527165
Kheri,2023,3.606999872171801
Kheri,2024,2.6808231267623825
Kushi Nagar,2015,1.920998237246884
Kushi Nagar,2016,2.793995999593179
Kushi Nagar,2017,3.08300406281087
Kushi Nagar,2018,2.8660005724247393
Kushi Nagar,2019,2.6140002418003765
Kushi Nagar,2020,2.9039969770761607
Kushi Nagar,2021,3.0169991632536224
Kushi Nagar,2022,2.905001009506922
Kushi Nagar,2023,3.03999896286181
Kushi Nagar,2024,1.6639984900350895
Lalitpur,2015,1.627978165471476
Lalitpur,2016,1.8649996379023164
Lalitpur,2017,1.5789963571004446
Lalitpur,2018,2.091103878491999
Lalitpur,2019,2.394002795379906
Lalitpur,2020,2.3567498706158685
Lalitpur,2021,2.6049977243932743
Lalitpur,2022,2.680963554270381
Lalitpur,2023,2.088000761571974
Lalitpur,2024,2.1220004498243954
Lucknow,2015,2.3689295548137137
Lucknow,2016,2.670001308480141
Lucknow,2017,2.580003138087939
Lucknow,2018,2.730016449328915
Lucknow,2019,2.6619956539613554
Lucknow,2020,2.8280154990552275
Lucknow,2021,2.704001264068843
Lucknow,2022,2.871995970643258
Lucknow,2023,2.972002015658223
Lucknow,2024,1.8220008825568934
Maharajganj,2015,1.4170029725476483
Maharajganj,2016,2.7805744147099087
Maharajganj,2017,2.9689973262032088
Maharajganj,2018,2.8180008860716357
Maharajganj,2019,2.9410033308408674
Maharajganj,2020,3.1780008492343623
Maharajganj,2021,3.286003079188701
Maharajganj,2022,3.310001230960603
Maharajganj,2023,3.36
Maharajganj,2024,2.3729986280057505
Mahoba,2015,1.1590616617827185
Mahoba,2016,1.3252039614327473
Mahoba,2017,0.5698463972575648
Mahoba,2018,2.0820911761505823
Mahoba,2019,1.5581683917438411
Mahoba,2020,1.237516478569821
Mahoba,2021,1.842102756255557
Mahoba,2022,1.9778997767512392
Mahoba,2023,1.7249759641063989
Mahoba,2024,0.9764792091726774
Mainpuri,2015,3.2052790509044358
Mainpuri,2016,2.9849875315908347
Mainpuri,2017,3.1570001678697333
Mainpuri,2018,3.3470017125273768
Mainpuri,2019,3.2529971435918466
Mainpuri,2020,3.485938073979989
Mainpuri,2021,3.73899904635696
Mainpuri,2022,3.5969991740846106
Mainpuri,2023,3.7880021892388487
Mainpuri,2024,2.3309999666344132
Mathura,2015,3.2979979530822248
Mathura,2016,2.8500034411380106
Mathura,2017,3.6500026119208067
Mathura,2018,3.8260008542694055
Mathura,2019,3.221997907949791
Mathura,2020,3.749001977874797
Mathura,2021,3.688999849788409
Mathura,2022,3.736000690446455
Mathura,2023,3.486000493918627
Mathura,2024,2.099997940416242
Mau,2015,2.374000090900827
Mau,2016,2.4319946116261018
Mau,2017,2.572001392742017
Mau,2018,2.7550031867431484
Mau,2019,2.3999957801901024
Mau,2020,2.822995640128004
Mau,2021,2.99799723829702
Mau,2022,3.3220003161722085
Mau,2023,3.0529949976484674
Mau,2024,2.0869953836608937
Meerut,2015,3.6080049619625068
Meerut,2016,3.722003591017537
Meerut,2017,3.703002979860255
Meerut,2018,3.5860014807221368
Meerut,2019,3.667001543701453
Meerut,2020,4.079997537400726
Meerut,2021,4.209002026794478
Meerut,2022,4.13000409018866
Meerut,2023,4.291995505148173
Meerut,2024,3.222999263855295
Mirzapur,2015,1.5910923426296855
Mirzapur,2016,2.0347626279560562
Mirzapur,2017,1.9041498916073087
Mirzapur,2018,1.9717285094554184
Mirzapur,2019,1.9905280706784323
Mirzapur,2020,2.314864962263568
Mirzapur,2021,2.4579252774101596
Mirzapur,2022,2.623419160191767
Mirzapur,2023,2.5469804162821696
Mirzapur,2024,1.7768433683482647
Moradabad,2015,2.8069980254783453
Moradabad,2016,3.0349982331884036
Moradabad,2017,2.937999135842626
Moradabad,2018,3.2250019950522706
Moradabad,2019,2.9880014064285505
Moradabad,2020,3.126000193791531
Moradabad,2021,3.1799993802741255
Moradabad,2022,3.065998985801217
Moradabad,2023,3.231998557589864
Moradabad,2024,1.611002028928595
Muzaffarnagar,2015,3.3579988862974233
Muzaffarnagar,2016,3.2389983077375324
Muzaffarnagar,2017,3.292999923412729
Muzaffarnagar,2018,3.2840036444097356
Muzaffarnagar,2019,3.437000209649885
Muzaffarnagar,2020,3.3757661789925413
Muzaffarnagar,2021,3.9299990286982314
Muzaffarnagar,2022,3.6480016703922966
Muzaffarnagar,2023,3.709996810376907
Muzaffarnagar,2024,2.8090001648846443
Pilibhit,2015,3.2949980643171632
Pilibhit,2016,3.325999266593326
Pilibhit,2017,3.6959979347429135
Pilibhit,2018,3.642002386865787
Pilibhit,2019,3.3789989468572834
Pilibhit,2020,3.7860008142942005
Pilibhit,2021,3.828998630446634
Pilibhit,2022,3.6109999123396546
Pilibhit,2023,3.6610034843205574
Pilibhit,2024,2.5650002762736213
Pratapgarh,2015,2.0390016140987717
Pratapgarh,2016,2.44397827562797
Pratapgarh,2017,2.3219594958526337
Pratapgarh,2018,2.7185880231914936
Pratapgarh,2019,2.380994420266365
Pratapgarh,2020,2.8119392684610074
Pratapgarh,2021,2.9338835754084807
Pratapgarh,2022,2.8159970547529607
Pratapgarh,2023,2.8120002164882894
Pratapgarh,2024,1.3849612447857278
Rae Bareli,2015,2.057990150982196
Rae Bareli,2016,2.3418467050265988
Rae Bareli,2017,2.3277619559825893
